STRUCTURE										 FREQUENCY

[sig1, =N@, sig4, =N@, sig4, =N@]										2.0
[=C@]										7.0
[C@H, sig3, C, C]										1.0
[=C, N, C]										1.0
[O@, C@, C@, C@, C@, C@]										1.0
[C, =O]										21.0
[C, C, O, sig2, sig6]										1.0
[C, C, C, C, C, C, C, C, O, sig2, sig6]										1.0
[C@, sig2]										6.0
[Cl, sig4]										1.0
[C]										23.0
[N@, sig2, O@, sig3, sig2]										1.0
[O, sig4, C, =//C, sig6]										1.0
[C@, C@, C@@H@, C@@H@, C@@, =C@]										1.0
[C@H@, sig2, C]										1.0
[C, sig6, sig6, sig6, sig5]										1.0
[O, sig3, C]										1.0
[=C, C]										1.0
[C@, sig2, sig2, sig2, sig3]										1.0
[C@@H@, C@@H@, C@, C@, sig2, C@H@]										2.0
[sig2, C@, =C@, O@, C@, =C@]										1.0
[O, C, sig6]										1.0
[C@, C@, =C@, sig2, C@@H@, C@H@]										1.0
[Si, sig2, sig1]										2.0
[C@@, C]										2.0
[C@, sig3]										3.0
[sig6]										15.0
[C, O, C, C, C, C, C, C, sig2, C]										2.0
[=C@, N]										5.0
[sig1, C@, C@, C@H@, sig2]										1.0
[C@, N, sig2, C]										1.0
[sig1, =C@, C@, =C@, sig2, =C@]										1.0
[sig2, C@H@, sig2, C@@H@, C@, C@]										1.0
[sig5, =O]										1.0
[sig3, sig2, sig1, C@, sig1]										1.0
[C, C, C]										1.0
[C@, sig2, C@, C@, =C@, sig1]										1.0
[O, sig4, N, C]										1.0
[=C@, sig2, sig2, C@, C@, =C@]										1.0
[=C@, sig3, C@, =C@, C@, =C@]										1.0
[C@, =C@, sig2, sig2, C@, =C@]										1.0
[sig2, sig2, =C@, sig3, =C@, C@]										1.0
[C, C, C, C, C, C, O]										1.0
[C@, sig4]										2.0
[C@, =C@, O@, sig3, C@]										1.0
[C@, sig3, =C@, sig2, C@, =C@]										1.0
[sig2, =C@, C@, =C@, C@, =C@]										2.0
[sig1, =C@, sig2, sig2, C@, =C@]										1.0
[C, C, O, C]										1.0
[Cl, sig6]										6.0
[C@H@, sig2, C, O]										2.0
[.Na+, .Na+, .Na+]										1.0
[sig3, C, C, C, C, C, C, sig2, =O]										1.0
[C@, sig2, C@, sig2, C@, =C@]										4.0
[sig1, C@, =C@, sig2, =C@, C@]										1.0
[O, C, C, C, C]										1.0
[=C, O, C, C]										1.0
[sig1, C@, sig2, sig2, C@, C@]										1.0
[sig1, sig2, =C@, C@, =C@, sig3]										1.0
[C@, =C@, C@, =C@, C@, sig2, sig6]										1.0
[O, sig6, sig6, sig6]										6.0
[sig1, sig2, sig5, sig1, sig3]										1.0
[sig1, sig2, sig3, sig1, sig3]										1.0
[C, C, sig14, C, C, C, C]										1.0
[C@, sig5]										5.0
[C, sig2, sig6]										3.0
[C@, =C@, sig2, C@, =C@, O@]										1.0
[C@@@]										6.0
[C@, =C@, C@, =C@, C@, =C@]										7.0
[N, sig6]										1.0
[C@@@, =C@, sig2, sig2, C@, =C@]										2.0
[sig1, =C@, C@, sig3, C@, =C@]										7.0
[C@, =C@, sig2, C@, C@, O@]										1.0
[Cl, sig5]										2.0
[C, sig6, sig6]										2.0
[C@, C@, sig2, C@, C@H@, sig2]										1.0
[C@H@]										6.0
[sig2, C@, =C@, C@, =C@, C@]										1.0
[N@, sig4, =C@, N@, C@, =C@]										1.0
[N, C, C, sig6]										1.0
[C@@@, sig1]										4.0
[C, sig2, sig3, C, C, sig2, sig5, sig6, sig6, sig6]										1.0
[sig1, sig2, C@, C@, C@@H@]										1.0
[sig10, =O]										1.0
[C@, sig2, N@, sig2, C@, C@]										1.0
[Cl, sig5, sig5]										2.0
[C@, sig6]										1.0
[C@@, F]										1.0
[C, O, C, sig2, C]										2.0
